"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 06 18:17:09 GMT 2024","Thu Jun 06 18:17:11 GMT 2024","1418","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","TC-02 Top Menu Navigation"
"unknown","Thu Jun 06 18:17:05 GMT 2024","Thu Jun 06 18:17:05 GMT 2024","2","Surefire suite","Surefire test","TestTest","TestTest","testFail","testFail",""
"passed","Thu Jun 06 18:17:07 GMT 2024","Thu Jun 06 18:17:09 GMT 2024","1551","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","TC-02 Top Menu Navigation"
"passed","Thu Jun 06 18:17:06 GMT 2024","Thu Jun 06 18:17:07 GMT 2024","1425","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","TC-02 Top Menu Navigation"
"passed","Thu Jun 06 18:17:16 GMT 2024","Thu Jun 06 18:17:17 GMT 2024","985","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testOpenBaseURL","TC-01 Open Base URL","TC-01 Open Base URL"
"passed","Thu Jun 06 18:17:11 GMT 2024","Thu Jun 06 18:17:12 GMT 2024","1354","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","TC-02 Top Menu Navigation"
"passed","Thu Jun 06 18:17:05 GMT 2024","Thu Jun 06 18:17:05 GMT 2024","11","Surefire suite","Surefire test","TestTest","TestTest","testPass","testPass",""
"passed","Thu Jun 06 18:17:14 GMT 2024","Thu Jun 06 18:17:16 GMT 2024","1532","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","TC-02 Top Menu Navigation"
"passed","Thu Jun 06 18:17:12 GMT 2024","Thu Jun 06 18:17:14 GMT 2024","1313","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","TC-02 Top Menu Navigation"
